defense,js_db,n,completed,completion_mean,ci_low,ci_high,ci_halfwidth
no_def,20.0,600,158,0.2633333333333333,0.22967693724040683,0.3000009345727449,0.035161998666169036
no_def,20.6452,600,156,0.26,0.22650792164694153,0.2965456948396349,0.03501888659634668
no_def,21.9355,600,111,0.185,0.15596845243160834,0.21803941920702313,0.031035483387707397
no_def,23.2258,600,89,0.14833333333333334,0.12213319200132422,0.17900787104497867,0.028437339521827226
no_def,24.5161,600,83,0.13833333333333334,0.11300100104651514,0.1682672960200617,0.027633147486773285
no_def,25.0,600,75,0.125,0.10089974887356176,0.15387152688671377,0.026485889006576002
no_def,25.8065,600,54,0.09,0.06963382183008099,0.1155827730011536,0.022974475585536308
no_def,27.0968,600,49,0.08166666666666667,0.0623236040554625,0.10633235245933376,0.022004374201935628
no_def,28.3871,600,50,0.08333333333333333,0.0637806745789658,0.10818740959911813,0.022203367510076163
no_def,29.6774,600,28,0.04666666666666667,0.03248188567095377,0.06661938991480156,0.017068752121923894
no_def,30.0,600,23,0.03833333333333333,0.025677277815960083,0.0568633594533569,0.01559304081869841
no_def,30.9677,600,22,0.03666666666666667,0.024336895975690734,0.05489161363033859,0.01527735882732393
no_def,32.2581,600,18,0.03,0.01905925662590196,0.046920742326976704,0.013930742850537373
no_def,33.5484,600,7,0.011666666666666667,0.005662583797877487,0.023884010858836874,0.009110713530479694
no_def,34.8387,600,4,0.006666666666666667,0.0025955012515148645,0.017014710415336507,0.007209604581910821
no_def,35.0,600,8,0.013333333333333334,0.006771354149386741,0.026087368170615285,0.009658007010614273
no_def,36.129,600,8,0.013333333333333334,0.006771354149386741,0.026087368170615285,0.009658007010614273
no_def,37.4194,600,1,0.0016666666666666668,0.0002942682008495647,0.009379560476138811,0.004542646137644623
no_def,38.7097,600,2,0.0033333333333333335,0.0009145966868046463,0.012071359653471395,0.0055783814833333745
no_def,40.0,600,0,0.0,4.336808689942018e-19,0.00636170101370071,0.003180850506850355
ours_m1m4m6m7,0.0,600,600,1.0,0.9936382989862994,1.0,0.003180850506850297
ours_m1m4m6m7,1.2903,600,600,1.0,0.9936382989862994,1.0,0.003180850506850297
ours_m1m4m6m7,2.5806,600,600,1.0,0.9936382989862994,1.0,0.003180850506850297
ours_m1m4m6m7,3.871,600,600,1.0,0.9936382989862994,1.0,0.003180850506850297
ours_m1m4m6m7,5.0,600,600,1.0,0.9936382989862994,1.0,0.003180850506850297
ours_m1m4m6m7,5.1613,600,600,1.0,0.9936382989862994,1.0,0.003180850506850297
ours_m1m4m6m7,6.4516,600,600,1.0,0.9936382989862994,1.0,0.003180850506850297
ours_m1m4m6m7,7.7419,600,597,0.995,0.9854037936547144,0.998298122341722,0.006447164343503786
ours_m1m4m6m7,9.0323,600,597,0.995,0.9854037936547144,0.998298122341722,0.006447164343503786
ours_m1m4m6m7,10.0,600,599,0.9983333333333333,0.9906204395238613,0.9997057317991506,0.004542646137644657
ours_m1m4m6m7,10.3226,600,596,0.9933333333333333,0.9829852895846635,0.9974044987484852,0.007209604581910889
ours_m1m4m6m7,11.6129,600,589,0.9816666666666667,0.9674722008560732,0.9897326938340618,0.0111302464889943
ours_m1m4m6m7,12.9032,600,587,0.9783333333333334,0.9632857238042716,0.9872949155592883,0.01200459587750835
ours_m1m4m6m7,14.1935,600,590,0.9833333333333333,0.9695947528170743,0.9909222695363482,0.010663758359636955
ours_m1m4m6m7,15.0,600,587,0.9783333333333334,0.9632857238042716,0.9872949155592883,0.01200459587750835
ours_m1m4m6m7,15.4839,600,576,0.96,0.9411722643439472,0.9729749707234482,0.0159013531897505
ours_m1m4m6m7,16.7742,600,580,0.9666666666666667,0.9490759071771071,0.9783198385434391,0.014621965683165983
ours_m1m4m6m7,18.0645,600,565,0.9416666666666667,0.919953305327685,0.9577605254435461,0.01890361005793051
ours_m1m4m6m7,19.3548,600,568,0.9466666666666667,0.9256793173512055,0.9619708964098885,0.01814578952934154
ours_m1m4m6m7,20.0,600,563,0.9383333333333334,0.9161569372167724,0.9549326382278833,0.01938785050555547
ours_m1m4m6m7,20.6452,600,556,0.9266666666666666,0.902983781316827,0.944920900484815,0.020968559583994018
ours_m1m4m6m7,21.9355,600,567,0.945,0.9237662245841664,0.9605718615136399,0.018402818464736792
ours_m1m4m6m7,23.2258,600,547,0.9116666666666666,0.8862624651137733,0.9318330677182797,0.022785301302253202
ours_m1m4m6m7,24.5161,600,542,0.9033333333333333,0.8770587644394329,0.924476130076182,0.02370868281837457
ours_m1m4m6m7,25.0,600,548,0.9133333333333333,0.8881100641938375,0.9332975963015033,0.022593766053832898
ours_m1m4m6m7,25.8065,600,532,0.8866666666666667,0.8588034397487048,0.9096101781340336,0.025403369192664393
ours_m1m4m6m7,27.0968,600,519,0.865,0.8353232826996672,0.8900326755603313,0.02735469643033206
ours_m1m4m6m7,28.3871,600,505,0.8416666666666667,0.8102953206379633,0.868690850336008,0.029197764849022367
ours_m1m4m6m7,29.6774,600,506,0.8433333333333334,0.8120752308545904,0.8702230677826686,0.02907391846403906
ours_m1m4m6m7,30.0,600,476,0.7933333333333333,0.7591172954308381,0.8238171733077908,0.032349938938476375
ours_m1m4m6m7,30.9677,600,481,0.8016666666666666,0.7678857302114159,0.8316093768436512,0.03186182331611764
ours_m1m4m6m7,32.2581,600,470,0.7833333333333333,0.7486223270376837,0.8144393757212192,0.03290852434176772
ours_m1m4m6m7,33.5484,600,447,0.745,0.7086420522775276,0.778240714225759,0.034799330974115694
ours_m1m4m6m7,34.8387,600,420,0.7,0.6621547728115615,0.7353005467829581,0.03657288698569827
ours_m1m4m6m7,35.0,600,426,0.71,0.6724472094026921,0.7448808761715535,0.03621683338443071
ours_m1m4m6m7,36.129,600,384,0.64,0.6008140729852128,0.6774046507309509,0.03829528887286904
ours_m1m4m6m7,37.4194,600,371,0.6183333333333333,0.5788260422730251,0.6563350218203989,0.038754489773686895
ours_m1m4m6m7,38.7097,600,340,0.5666666666666667,0.5267162215503707,0.6057688849811358,0.03952633171538256
ours_m1m4m6m7,40.0,600,318,0.53,0.4900004043695811,0.5696178935695968,0.039808744600007856
seq2seq_tr,0.0,600,600,1.0,0.9936382989862994,1.0,0.003180850506850297
seq2seq_tr,1.2903,600,599,0.9983333333333333,0.9906204395238613,0.9997057317991506,0.004542646137644657
seq2seq_tr,2.5806,600,594,0.99,0.9783564551842772,0.9954090778222962,0.008526311319009494
seq2seq_tr,3.871,600,594,0.99,0.9783564551842772,0.9954090778222962,0.008526311319009494
seq2seq_tr,5.0,600,582,0.97,0.9530792576730233,0.9809407433740981,0.013930742850537414
seq2seq_tr,5.1613,600,582,0.97,0.9530792576730233,0.9809407433740981,0.013930742850537414
seq2seq_tr,6.4516,600,586,0.9766666666666667,0.9612176696483747,0.9860508420518974,0.012416586201761337
seq2seq_tr,7.7419,600,579,0.965,0.9470879685332634,0.9769956495239949,0.014953840495365744
seq2seq_tr,9.0323,600,576,0.96,0.9411722643439472,0.9729749707234482,0.0159013531897505
seq2seq_tr,10.0,600,569,0.9483333333333334,0.9275970853316893,0.9633652560926926,0.01788408538050168
seq2seq_tr,10.3226,600,568,0.9466666666666667,0.9256793173512055,0.9619708964098885,0.01814578952934154
seq2seq_tr,11.6129,600,570,0.95,0.9295197368722641,0.9647547322154053,0.017617497671570614
seq2seq_tr,12.9032,600,553,0.9216666666666666,0.8973856994464167,0.9405825993653625,0.02159844995947291
seq2seq_tr,14.1935,600,533,0.8883333333333333,0.8606207206352195,0.9111050249108062,0.02524215213779335
seq2seq_tr,15.0,600,548,0.9133333333333333,0.8881100641938375,0.9332975963015033,0.022593766053832898
seq2seq_tr,15.4839,600,538,0.8966666666666666,0.869733872677243,0.9185525111852211,0.024409319253989037
seq2seq_tr,16.7742,600,523,0.8716666666666667,0.8425209881260345,0.8960834807871148,0.02678124633054013
seq2seq_tr,18.0645,600,490,0.8166666666666667,0.7837240440290864,0.8455802119955699,0.03092808398324176
seq2seq_tr,19.3548,600,491,0.8183333333333334,0.7854884512432293,0.8471279324447146,0.030819740600742662
seq2seq_tr,20.0,600,458,0.7633333333333333,0.727715735944399,0.7956004348550519,0.03394234945532648
seq2seq_tr,20.6452,600,459,0.765,0.7294538938786385,0.7971744045841002,0.03386025535273085
seq2seq_tr,21.9355,600,435,0.725,0.6879257639052068,0.7592114706386279,0.03564285336671058
seq2seq_tr,23.2258,600,424,0.7066666666666667,0.6690140766329079,0.7416897536147625,0.03633783849092731
seq2seq_tr,24.5161,600,404,0.6733333333333333,0.634807284597136,0.7096539923847811,0.037423353893822564
seq2seq_tr,25.0,600,381,0.635,0.5957325666291482,0.6725497740971527,0.038408603734002233
seq2seq_tr,25.8065,600,362,0.6033333333333334,0.5636512401815564,0.6417006749422788,0.039024717380361174
seq2seq_tr,27.0968,600,350,0.5833333333333334,0.5434772736089304,0.6221291095554529,0.03932591797326124
seq2seq_tr,28.3871,600,298,0.49666666666666665,0.45680861685797003,0.5365671278154547,0.039879255478742326
seq2seq_tr,29.6774,600,293,0.48833333333333334,0.4485382057569833,0.5282769006000032,0.039869347421509965
seq2seq_tr,30.0,600,306,0.51,0.47006417298781034,0.5498085929919156,0.039872210002052655
seq2seq_tr,30.9677,600,247,0.4116666666666667,0.372971743611098,0.4514854902346559,0.03925687331177896
seq2seq_tr,32.2581,600,218,0.36333333333333334,0.3258314389005266,0.40257409270988503,0.038371326904679204
seq2seq_tr,33.5484,600,203,0.3383333333333333,0.3016098164666039,0.3771138001944927,0.0377519918639444
seq2seq_tr,34.8387,600,154,0.25666666666666665,0.22334150729560967,0.2930878538643914,0.034873173284390865
seq2seq_tr,35.0,600,165,0.275,0.24078852936137213,0.3120742360947933,0.03564285336671058
seq2seq_tr,36.129,600,147,0.245,0.21228002521890663,0.2809644422980807,0.03434220853958704
seq2seq_tr,37.4194,600,120,0.2,0.1699473686822437,0.23386965192597675,0.03196114162186653
seq2seq_tr,38.7097,600,88,0.14666666666666667,0.12060802259334437,0.17722091278967084,0.028306445098163234
seq2seq_tr,40.0,600,72,0.12,0.09638593328911171,0.14844895948130082,0.026031513096094555
